iter	Passed	Remaining
0	157	157366
1	169	84475
2	180	59931
3	187	46733
4	194	38639
5	200	33164
6	206	29294
7	212	26325
8	219	24145
9	225	22287
10	230	20696
11	237	19522
12	242	18419
13	249	17554
14	254	16726
15	260	15994
16	267	15475
17	273	14901
18	280	14483
19	286	14023
20	291	13582
21	297	13239
22	303	12872
23	310	12625
24	316	12328
25	321	12049
26	328	11824
27	333	11582
28	338	11348
29	346	11191
30	351	10990
31	357	10828
32	364	10690
33	370	10516
34	377	10400
35	382	10242
36	388	10122
37	395	10012
38	402	9905
39	409	9817
40	414	9690
41	420	9583
42	425	9462
43	431	9382
44	437	9276
45	442	9178
46	448	9100
47	454	9012
48	460	8939
49	466	8859
50	472	8786
51	478	8729
52	485	8666
53	490	8596
54	496	8536
55	502	8466
56	508	8406
57	514	8352
58	519	8291
59	526	8252
60	532	8199
61	539	8155
62	544	8104
63	549	8038
64	557	8014
65	562	7965
66	568	7915
67	575	7892
68	581	7845
69	588	7816
70	594	7775
71	599	7730
72	606	7700
73	612	7660
74	617	7614
75	624	7586
76	629	7549
77	636	7521
78	642	7488
79	647	7443
80	653	7417
81	659	7385
82	665	7353
83	672	7331
84	678	7299
85	684	7276
86	691	7255
87	696	7221
88	704	7215
89	711	7190
90	718	7175
91	724	7146
92	731	7130
93	737	7108
94	743	7086
95	751	7073
96	756	7045
97	763	7029
98	769	7005
99	775	6978
100	782	6964
101	788	6939
102	795	6929
103	802	6912
104	808	6889
105	815	6874
106	820	6850
107	827	6832
108	833	6813
109	839	6790
110	846	6780
111	852	6758
112	858	6740
113	865	6729
114	872	6712
115	879	6699
116	884	6676
117	891	6664
118	897	6647
119	903	6626
120	911	6619
121	917	6602
122	924	6589
123	930	6574
124	937	6565
125	944	6554
126	950	6531
127	956	6517
128	962	6499
129	968	6479
130	975	6471
131	981	6454
132	988	6441
133	993	6422
134	999	6401
135	1005	6386
136	1010	6364
137	1015	6341
138	1022	6331
139	1027	6312
140	1033	6295
141	1040	6285
142	1046	6269
143	1053	6264
144	1059	6248
145	1065	6234
146	1072	6224
147	1078	6211
148	1086	6204
149	1092	6188
150	1099	6179
151	1105	6167
152	1111	6155
153	1118	6146
154	1124	6129
155	1130	6116
156	1137	6107
157	1144	6099
158	1151	6090
159	1158	6080
160	1166	6076
161	1172	6064
162	1179	6055
163	1185	6040
164	1191	6030
165	1198	6019
166	1204	6005
167	1210	5997
168	1216	5980
169	1223	5971
170	1229	5961
171	1235	5946
172	1242	5940
173	1248	5926
174	1254	5914
175	1261	5904
176	1267	5892
177	1274	5884
178	1279	5870
179	1285	5854
180	1292	5847
181	1298	5837
182	1305	5830
183	1312	5818
184	1317	5806
185	1324	5796
186	1330	5784
187	1339	5784
188	1345	5775
189	1352	5765
190	1359	5758
191	1365	5745
192	1372	5739
193	1378	5726
194	1384	5715
195	1390	5704
196	1396	5694
197	1403	5685
198	1409	5673
199	1415	5663
200	1422	5654
201	1428	5642
202	1435	5636
203	1441	5626
204	1448	5615
205	1453	5604
206	1459	5591
207	1466	5583
208	1472	5571
209	1478	5560
210	1485	5553
211	1490	5542
212	1497	5532
213	1503	5521
214	1509	5509
215	1515	5501
216	1521	5490
217	1527	5477
218	1533	5469
219	1539	5457
220	1546	5449
221	1551	5438
222	1557	5425
223	1563	5416
224	1569	5404
225	1574	5393
226	1581	5384
227	1586	5371
228	1594	5367
229	1600	5357
230	1606	5348
231	1613	5341
232	1619	5331
233	1626	5324
234	1633	5318
235	1640	5311
236	1647	5304
237	1653	5295
238	1660	5288
239	1666	5278
240	1674	5274
241	1680	5264
242	1686	5252
243	1693	5246
244	1699	5237
245	1706	5231
246	1712	5219
247	1718	5211
248	1725	5203
249	1730	5191
250	1738	5188
251	1745	5179
252	1751	5171
253	1759	5168
254	1766	5160
255	1773	5154
256	1779	5145
257	1786	5136
258	1791	5126
259	1798	5119
260	1805	5112
261	1811	5102
262	1818	5096
263	1825	5088
264	1831	5080
265	1838	5072
266	1844	5063
267	1851	5056
268	1857	5047
269	1863	5037
270	1870	5030
271	1875	5020
272	1883	5016
273	1890	5007
274	1897	5001
275	1903	4992
276	1910	4985
277	1917	4979
278	1924	4972
279	1931	4966
280	1937	4956
281	1943	4947
282	1949	4940
283	1955	4929
284	1962	4923
285	1968	4914
286	1974	4905
287	1982	4901
288	1987	4890
289	1994	4882
290	2000	4874
291	2008	4870
292	2015	4862
293	2022	4857
294	2029	4849
295	2035	4840
296	2042	4834
297	2048	4824
298	2054	4816
299	2060	4808
300	2066	4799
301	2073	4792
302	2078	4781
303	2084	4773
304	2092	4767
305	2098	4758
306	2105	4752
307	2111	4745
308	2119	4739
309	2126	4733
310	2132	4724
311	2139	4718
312	2146	4710
313	2152	4702
314	2158	4693
315	2163	4683
316	2171	4677
317	2177	4668
318	2183	4662
319	2190	4653
320	2195	4643
321	2202	4636
322	2207	4627
323	2214	4621
324	2221	4614
325	2227	4605
326	2234	4598
327	2240	4589
328	2246	4581
329	2253	4574
330	2259	4565
331	2266	4559
332	2271	4550
333	2277	4541
334	2284	4534
335	2289	4524
336	2296	4517
337	2302	4509
338	2308	4500
339	2315	4494
340	2321	4486
341	2327	4477
342	2333	4469
343	2338	4459
344	2345	4453
345	2351	4444
346	2357	4437
347	2365	4431
348	2372	4424
349	2379	4419
350	2385	4410
351	2391	4402
352	2397	4394
353	2403	4385
354	2410	4379
355	2416	4370
356	2422	4363
357	2428	4354
358	2433	4344
359	2439	4336
360	2444	4327
361	2450	4318
362	2458	4313
363	2464	4305
364	2471	4299
365	2476	4290
366	2482	4281
367	2489	4275
368	2495	4266
369	2501	4258
370	2506	4250
371	2512	4241
372	2519	4234
373	2524	4225
374	2529	4215
375	2534	4206
376	2540	4197
377	2545	4188
378	2551	4181
379	2557	4172
380	2562	4163
381	2569	4157
382	2575	4148
383	2581	4141
384	2587	4133
385	2592	4124
386	2599	4117
387	2605	4109
388	2610	4100
389	2618	4096
390	2624	4087
391	2631	4081
392	2637	4073
393	2642	4064
394	2650	4059
395	2655	4050
396	2663	4044
397	2668	4036
398	2674	4028
399	2681	4021
400	2686	4013
401	2692	4005
402	2698	3998
403	2704	3989
404	2710	3982
405	2716	3974
406	2721	3965
407	2729	3960
408	2735	3952
409	2741	3944
410	2747	3937
411	2753	3929
412	2760	3923
413	2765	3915
414	2771	3907
415	2778	3900
416	2783	3892
417	2789	3884
418	2796	3877
419	2802	3869
420	2809	3863
421	2814	3855
422	2820	3847
423	2827	3840
424	2832	3832
425	2839	3826
426	2845	3818
427	2851	3811
428	2858	3804
429	2864	3796
430	2869	3788
431	2876	3781
432	2881	3773
433	2888	3766
434	2894	3758
435	2899	3750
436	2906	3743
437	2912	3736
438	2918	3729
439	2924	3721
440	2929	3713
441	2936	3706
442	2942	3699
443	2947	3690
444	2954	3684
445	2960	3677
446	2966	3670
447	2972	3662
448	2978	3655
449	2986	3649
450	2991	3641
451	2996	3632
452	3003	3626
453	3008	3618
454	3016	3612
455	3021	3604
456	3027	3597
457	3034	3591
458	3040	3583
459	3046	3576
460	3053	3569
461	3059	3562
462	3066	3557
463	3072	3549
464	3079	3543
465	3085	3535
466	3092	3529
467	3099	3522
468	3104	3515
469	3110	3507
470	3116	3500
471	3121	3492
472	3128	3485
473	3134	3477
474	3140	3470
475	3147	3464
476	3153	3457
477	3160	3451
478	3166	3444
479	3172	3436
480	3179	3430
481	3185	3423
482	3191	3416
483	3197	3408
484	3202	3401
485	3209	3394
486	3215	3386
487	3221	3380
488	3228	3373
489	3234	3366
490	3240	3359
491	3246	3352
492	3252	3344
493	3258	3337
494	3264	3330
495	3270	3323
496	3277	3317
497	3283	3309
498	3290	3303
499	3295	3295
500	3302	3289
501	3309	3282
502	3315	3276
503	3322	3269
504	3327	3262
505	3333	3254
506	3340	3248
507	3345	3240
508	3352	3234
509	3358	3227
510	3364	3219
511	3371	3213
512	3377	3206
513	3384	3199
